"Fan2021" "Kagawa2022" "Lui2021" "Petropoulos2016_ref" "Sozen2021" "Xiang2020_ref" "Yanagida2021" "Yanagida2021_ref" "Yu2021_5iLA" "Yu2021_PXGL"
"CTBs" 14 34 3 15 2 29 9 0 397 363
"Early Trophectoderm" 0 0 0 0 0 0 0 9 7 12
"EPI" 0 0 3 0 0 40 0 0 6 12
"epiblast" 200 424 678 113 81 0 2 0 720 1013
"Epiblast" 776 140 1537 0 55 0 73 23 1158 1198
"Hypoblast" 89 0 22 0 34 7 0 0 9 16
"ICM" 3 0 42 0 1 44 0 0 51 44
"Inner Cell Mass" 4 0 21 17 4 1 0 21 57 81
"Inner Cell Mass-Trophectoderm Transition" 0 0 0 0 0 0 0 11 3 0
"not applicable" 0 1 18 166 1 0 0 1 18 20
"primitive endoderm" 6711 104 1746 63 2220 0 0 0 142 325
"Primitive Endoderm" 1002 30 2087 6 2505 1 4 14 237 384
"trophectoderm" 1368 327 791 700 52 0 1 1 877 974
"Trophectoderm" 21 4 853 1 8 0 133 60 733 470
"Unknown" 6 0 35 0 4 0 0 3 35 60
